"","Survived","Pclass","Sex","Title"
"171","0","1","male","Mr"
"172","0","3","male","Master"
"173","1","3","female","Miss"
"174","0","3","male","Mr"
"175","0","1","male","Mr"
"176","0","3","male","Mr"
"177","0","3","male","Master"
"178","0","1","female","Miss"
"179","0","2","male","Mr"
"180","0","3","male","Mr"
"181","0","3","female","Miss"
"182","0","2","male","Mr"
"183","0","3","male","Master"
"184","1","2","male","Master"
"185","1","3","female","Miss"
"186","0","1","male","Mr"
"187","1","3","female","Mrs"
"188","1","1","male","Mr"
"189","0","3","male","Mr"
"190","0","3","male","Mr"
"191","1","2","female","Mrs"
"192","0","2","male","Mr"
"193","1","3","female","Miss"
"194","1","2","male","Master"
"195","1","1","female","Mrs"
"196","1","1","female","Miss"
"197","0","3","male","Mr"
"198","0","3","male","Mr"
"199","1","3","female","Miss"
"200","0","2","female","Miss"
"201","0","3","male","Mr"
"202","0","3","male","Mr"
"203","0","3","male","Mr"
"204","0","3","male","Mr"
"205","1","3","male","Mr"
"206","0","3","female","Miss"
"207","0","3","male","Mr"
"208","1","3","male","Mr"
"209","1","3","female","Miss"
"210","1","1","male","Mr"
"211","0","3","male","Mr"
"212","1","2","female","Miss"
"213","0","3","male","Mr"
"214","0","2","male","Mr"
"215","0","3","male","Mr"
"216","1","1","female","Miss"
"217","1","3","female","Miss"
"218","0","2","male","Mr"
"219","1","1","female","Miss"
"220","0","2","male","Mr"
"221","1","3","male","Mr"
"222","0","2","male","Mr"
"223","0","3","male","Mr"
"224","0","3","male","Mr"
"225","1","1","male","Mr"
"226","0","3","male","Mr"
"227","1","2","male","Mr"
"228","0","3","male","Mr"
"229","0","2","male","Mr"
"230","0","3","female","Miss"
"231","1","1","female","Mrs"
"232","0","3","male","Mr"
"233","0","2","male","Mr"
"234","1","3","female","Miss"
"235","0","2","male","Mr"
"236","0","3","female","Miss"
"237","0","2","male","Mr"
"238","1","2","female","Miss"
"239","0","2","male","Mr"
"240","0","2","male","Mr"
"241","0","3","female","Miss"
"242","1","3","female","Miss"
"243","0","2","male","Mr"
"244","0","3","male","Mr"
"245","0","3","male","Mr"
"246","0","1","male","Mr"
"247","0","3","female","Miss"
"248","1","2","female","Mrs"
"249","1","1","male","Mr"
"250","0","2","male","Mr"
"251","0","3","male","Mr"
"252","0","3","female","Mrs"
"253","0","1","male","Mr"
"254","0","3","male","Mr"
"255","0","3","female","Mrs"
"256","1","3","female","Mrs"
"257","1","1","female","Mrs"
"258","1","1","female","Miss"
"259","1","1","female","Miss"
"260","1","2","female","Mrs"
"261","0","3","male","Mr"
"262","1","3","male","Master"
"263","0","1","male","Mr"
"264","0","1","male","Mr"
"265","0","3","female","Miss"
"266","0","2","male","Mr"
"267","0","3","male","Mr"
"268","1","3","male","Mr"
"269","1","1","female","Mrs"
"270","1","1","female","Miss"
"271","0","1","male","Mr"
"272","1","3","male","Mr"
"273","1","2","female","Mrs"
"274","0","1","male","Mr"
"275","1","3","female","Miss"
"276","1","1","female","Miss"
"277","0","3","female","Miss"
"278","0","2","male","Mr"
"279","0","3","male","Master"
"280","1","3","female","Mrs"
"281","0","3","male","Mr"
"282","0","3","male","Mr"
"283","0","3","male","Mr"
"284","1","3","male","Mr"
"285","0","1","male","Mr"
"286","0","3","male","Mr"
"287","1","3","male","Mr"
"288","0","3","male","Mr"
"289","1","2","male","Mr"
"290","1","3","female","Miss"
"291","1","1","female","Miss"
"292","1","1","female","Mrs"
"293","0","2","male","Mr"
"294","0","3","female","Miss"
"295","0","3","male","Mr"
"296","0","1","male","Mr"
"297","0","3","male","Mr"
"298","0","1","female","Miss"
"299","1","1","male","Mr"
"300","1","1","female","Mrs"
"301","1","3","female","Miss"
"302","1","3","male","Mr"
"303","0","3","male","Mr"
"304","1","2","female","Miss"
"305","0","3","male","Mr"
"306","1","1","male","Master"
"307","1","1","female","Miss"
"308","1","1","female","Mrs"
"309","0","2","male","Mr"
"310","1","1","female","Miss"
"311","1","1","female","Miss"
"312","1","1","female","Miss"
"313","0","2","female","Mrs"
"314","0","3","male","Mr"
"315","0","2","male","Mr"
"316","1","3","female","Miss"
"317","1","2","female","Mrs"
"318","0","2","male","Mr"
"319","1","1","female","Miss"
"320","1","1","female","Mrs"
"321","0","3","male","Mr"
"322","0","3","male","Mr"
"323","1","2","female","Miss"
"324","1","2","female","Mrs"
"325","0","3","male","Mr"
"326","1","1","female","Miss"
"327","0","3","male","Mr"
"328","1","2","female","Mrs"
"329","1","3","female","Mrs"
"330","1","1","female","Miss"
"331","1","3","female","Miss"
"332","0","1","male","Mr"
"333","0","1","male","Mr"
"334","0","3","male","Mr"
"335","1","1","female","Mrs"
"336","0","3","male","Mr"
"337","0","1","male","Mr"
"338","1","1","female","Miss"
"339","1","3","male","Mr"
"340","0","1","male","Mr"
"341","1","2","male","Master"
"342","1","1","female","Miss"
"343","0","2","male","Mr"
"344","0","2","male","Mr"
"345","0","2","male","Mr"
"346","1","2","female","Miss"
"347","1","2","female","Miss"
"348","1","3","female","Mrs"
"349","1","3","male","Master"
"350","0","3","male","Mr"
"351","0","3","male","Mr"
"352","0","1","male","Mr"
"353","0","3","male","Mr"
"354","0","3","male","Mr"
"355","0","3","male","Mr"
"356","0","3","male","Mr"
"357","1","1","female","Miss"
"358","0","2","female","Miss"
"359","1","3","female","Miss"
"360","1","3","female","Miss"
"361","0","3","male","Mr"
"362","0","2","male","Mr"
"363","0","3","female","Mrs"
"364","0","3","male","Mr"
"365","0","3","male","Mr"
"366","0","3","male","Mr"
"367","1","1","female","Mrs"
"368","1","3","female","Mrs"
"369","1","3","female","Miss"
"370","1","1","female","Mrs"
"371","1","1","male","Mr"
"372","0","3","male","Mr"
"373","0","3","male","Mr"
"374","0","1","male","Mr"
"375","0","3","female","Miss"
"376","1","1","female","Mrs"
"377","1","3","female","Miss"
"378","0","1","male","Mr"
"379","0","3","male","Mr"
"380","0","3","male","Mr"
"381","1","1","female","Miss"
"382","1","3","female","Miss"
"383","0","3","male","Mr"
"384","1","1","female","Mrs"
"385","0","3","male","Mr"
"386","0","2","male","Mr"
"387","0","3","male","Master"
"388","1","2","female","Miss"
"389","0","3","male","Mr"
"390","1","2","female","Miss"
"391","1","1","male","Mr"
"392","1","3","male","Mr"
"393","0","3","male","Mr"
"394","1","1","female","Miss"
"395","1","3","female","Mrs"
"396","0","3","male","Mr"
"397","0","3","female","Miss"
"398","0","2","male","Mr"
"399","0","2","male","Mr"
"400","1","2","female","Mrs"
"401","1","3","male","Mr"
"402","0","3","male","Mr"
"403","0","3","female","Miss"
"404","0","3","male","Mr"
"405","0","3","female","Miss"
"406","0","2","male","Mr"
"407","0","3","male","Mr"
"408","1","2","male","Master"
"409","0","3","male","Mr"
"410","0","3","female","Miss"
"411","0","3","male","Mr"
"412","0","3","male","Mr"
"413","1","1","female","Miss"
"414","0","2","male","Mr"
"415","1","3","male","Mr"
"416","0","3","female","Mrs"
"417","1","2","female","Mrs"
"418","1","2","female","Miss"
"419","0","2","male","Mr"
"420","0","3","female","Miss"
"421","0","3","male","Mr"
"422","0","3","male","Mr"
"423","0","3","male","Mr"
"424","0","3","female","Mrs"
"425","0","3","male","Mr"
"426","0","3","male","Mr"
"427","1","2","female","Mrs"
"428","1","2","female","Miss"
"429","0","3","male","Mr"
"430","1","3","male","Mr"
"431","1","1","male","Mr"
"432","1","3","female","Mrs"
"433","1","2","female","Mrs"
"434","0","3","male","Mr"
"435","0","1","male","Mr"
"436","1","1","female","Miss"
"437","0","3","female","Miss"
"438","1","2","female","Mrs"
"439","0","1","male","Mr"
"440","0","2","male","Mr"
"441","1","2","female","Mrs"
"442","0","3","male","Mr"
"443","0","3","male","Mr"
"444","1","2","female","Miss"
"445","1","3","male","Mr"
"446","1","1","male","Master"
"447","1","2","female","Miss"
"448","1","1","male","Mr"
"449","1","3","female","Miss"
"450","1","1","male","Mr"
"451","0","2","male","Mr"
"452","0","3","male","Mr"
"453","0","1","male","Mr"
"454","1","1","male","Mr"
"455","0","3","male","Mr"
"456","1","3","male","Mr"
"457","0","1","male","Mr"
"458","1","1","female","Mrs"
"459","1","2","female","Miss"
"460","0","3","male","Mr"
"461","1","1","male","Mr"
"462","0","3","male","Mr"
"463","0","1","male","Mr"
"464","0","2","male","Mr"
"465","0","3","male","Mr"
"466","0","3","male","Mr"
"467","0","2","male","Mr"
"468","0","1","male","Mr"
"469","0","3","male","Mr"
"470","1","3","female","Miss"
"471","0","3","male","Mr"
"472","0","3","male","Mr"
"473","1","2","female","Mrs"
"474","1","2","female","Mrs"
"475","0","3","female","Miss"
"476","0","1","male","Mr"
"477","0","2","male","Mr"
"478","0","3","male","Mr"
"479","0","3","male","Mr"
"480","1","3","female","Miss"
"481","0","3","male","Master"
"482","0","2","male","Mr"
"483","0","3","male","Mr"
"484","1","3","female","Mrs"
"485","1","1","male","Mr"
"486","0","3","female","Miss"
"487","1","1","female","Mrs"
"488","0","1","male","Mr"
"489","0","3","male","Mr"
"490","1","3","male","Master"
"491","0","3","male","Mr"
"492","0","3","male","Mr"
"493","0","1","male","Mr"
"494","0","1","male","Mr"
"495","0","3","male","Mr"
"496","0","3","male","Mr"
"497","1","1","female","Miss"
"498","0","3","male","Mr"
"499","0","1","female","Mrs"
"500","0","3","male","Mr"
"501","0","3","male","Mr"
"502","0","3","female","Miss"
"503","0","3","female","Miss"
"504","0","3","female","Miss"
"505","1","1","female","Miss"
"506","0","1","male","Mr"
"507","1","2","female","Mrs"
"508","1","1","male","Mr"
"509","0","3","male","Mr"
"510","1","3","male","Mr"
"511","1","3","male","Mr"
"512","0","3","male","Mr"
"513","1","1","male","Mr"
"514","1","1","female","Mrs"
"515","0","3","male","Mr"
"516","0","1","male","Mr"
"517","1","2","female","Mrs"
"518","0","3","male","Mr"
"519","1","2","female","Mrs"
"520","0","3","male","Mr"
"521","1","1","female","Miss"
"522","0","3","male","Mr"
"523","0","3","male","Mr"
"524","1","1","female","Mrs"
"525","0","3","male","Mr"
"526","0","3","male","Mr"
"527","1","2","female","Miss"
"528","0","1","male","Mr"
"529","0","3","male","Mr"
"530","0","2","male","Mr"
"531","1","2","female","Miss"
"532","0","3","male","Mr"
"533","0","3","male","Mr"
"534","1","3","female","Mrs"
"535","0","3","female","Miss"
"536","1","2","female","Miss"
"537","0","1","male","Mr"
"538","1","1","female","Miss"
"539","0","3","male","Mr"
"540","1","1","female","Miss"
"541","1","1","female","Miss"
"542","0","3","female","Miss"
"543","0","3","female","Miss"
"544","1","2","male","Mr"
"545","0","1","male","Mr"
"546","0","1","male","Mr"
"547","1","2","female","Mrs"
"548","1","2","male","Mr"
"549","0","3","male","Mr"
"550","1","2","male","Master"
"551","1","1","male","Mr"
"552","0","2","male","Mr"
"553","0","3","male","Mr"
"554","1","3","male","Mr"
"555","1","3","female","Miss"
"556","0","1","male","Mr"
"557","1","1","female","Mrs"
"558","0","1","male","Mr"
"559","1","1","female","Mrs"
"560","1","3","female","Mrs"
"561","0","3","male","Mr"
"562","0","3","male","Mr"
"563","0","2","male","Mr"
"564","0","3","male","Mr"
"565","0","3","female","Miss"
"566","0","3","male","Mr"
"567","0","3","male","Mr"
"568","0","3","female","Mrs"
"569","0","3","male","Mr"
"570","1","3","male","Mr"
"571","1","2","male","Mr"
"572","1","1","female","Mrs"
"573","1","1","male","Mr"
"574","1","3","female","Miss"
"575","0","3","male","Mr"
"576","0","3","male","Mr"
"577","1","2","female","Miss"
"578","1","1","female","Mrs"
"579","0","3","female","Mrs"
"580","1","3","male","Mr"
"581","1","2","female","Miss"
"582","1","1","female","Mrs"
"583","0","2","male","Mr"
"584","0","1","male","Mr"
"585","0","3","male","Mr"
"586","1","1","female","Miss"
"587","0","2","male","Mr"
"588","1","1","male","Mr"
"589","0","3","male","Mr"
"590","0","3","male","Mr"
"591","0","3","male","Mr"
"592","1","1","female","Mrs"
"593","0","3","male","Mr"
"594","0","3","female","Miss"
"595","0","2","male","Mr"
"596","0","3","male","Mr"
"597","1","2","female","Miss"
"598","0","3","male","Mr"
"599","0","3","male","Mr"
"600","1","1","male","Mr"
"601","1","2","female","Mrs"
"602","0","3","male","Mr"
"603","0","1","male","Mr"
"604","0","3","male","Mr"
"605","1","1","male","Mr"
"606","0","3","male","Mr"
"607","0","3","male","Mr"
"608","1","1","male","Mr"
"609","1","2","female","Mrs"
"610","1","1","female","Miss"
"611","0","3","female","Mrs"
"612","0","3","male","Mr"
"613","1","3","female","Miss"
"614","0","3","male","Mr"
"615","0","3","male","Mr"
"616","1","2","female","Miss"
"617","0","3","male","Mr"
"618","0","3","female","Mrs"
"619","1","2","female","Miss"
"620","0","2","male","Mr"
"621","0","3","male","Mr"
"622","1","1","male","Mr"
"623","1","3","male","Mr"
"624","0","3","male","Mr"
"625","0","3","male","Mr"
"626","0","1","male","Mr"
"627","0","2","male","Mr"
"628","1","1","female","Miss"
"629","0","3","male","Mr"
"630","0","3","male","Mr"
"631","1","1","male","Mr"
"632","0","3","male","Mr"
"633","1","1","male","Mr"
"634","0","1","male","Mr"
"635","0","3","female","Miss"
"636","1","2","female","Miss"
"637","0","3","male","Mr"
"638","0","2","male","Mr"
"639","0","3","female","Mrs"
"640","0","3","male","Mr"
"641","0","3","male","Mr"
"642","1","1","female",NA
"643","0","3","female","Miss"
"644","1","3","male","Mr"
"645","1","3","female","Miss"
"646","1","1","male","Mr"
"647","0","3","male","Mr"
"648","1","1","male","Mr"
"649","0","3","male","Mr"
"650","1","3","female","Miss"
"651","0","3","male","Mr"
"652","1","2","female","Miss"
"653","0","3","male","Mr"
"654","1","3","female","Miss"
"655","0","3","female","Miss"
"656","0","2","male","Mr"
"657","0","3","male","Mr"
"658","0","3","female","Mrs"
"659","0","2","male","Mr"
"660","0","1","male","Mr"
"661","1","1","male","Mr"
"662","0","3","male","Mr"
"663","0","1","male","Mr"
"664","0","3","male","Mr"
"665","1","3","male","Mr"
"666","0","2","male","Mr"
"667","0","2","male","Mr"
"668","0","3","male","Mr"
"669","0","3","male","Mr"
"670","1","1","female","Mrs"
"671","1","2","female","Mrs"
"672","0","1","male","Mr"
"673","0","2","male","Mr"
"674","1","2","male","Mr"
"675","0","2","male","Mr"
"676","0","3","male","Mr"
"677","0","3","male","Mr"
"678","1","3","female","Miss"
"679","0","3","female","Mrs"
"680","1","1","male","Mr"
"681","0","3","female","Miss"
"682","1","1","male","Mr"
"683","0","3","male","Mr"
"684","0","3","male","Mr"
"685","0","2","male","Mr"
"686","0","2","male","Mr"
"687","0","3","male","Mr"
"688","0","3","male","Mr"
"689","0","3","male","Mr"
"690","1","1","female","Miss"
"691","1","1","male","Mr"
"692","1","3","female","Miss"
"693","1","3","male","Mr"
"694","0","3","male","Mr"
"695","0","1","male","Mr"
"696","0","2","male","Mr"
"697","0","3","male","Mr"
"698","1","3","female","Miss"
"699","0","1","male","Mr"
"700","0","3","male","Mr"
"701","1","1","female","Mrs"
"702","1","1","male","Mr"
"703","0","3","female","Miss"
"704","0","3","male","Mr"
"705","0","3","male","Mr"
"706","0","2","male","Mr"
"707","1","2","female","Mrs"
"708","1","1","male","Mr"
"709","1","1","female","Miss"
"710","1","3","male","Master"
"711","1","1","female","Mrs"
"712","0","1","male","Mr"
"713","1","1","male","Mr"
"714","0","3","male","Mr"
"715","0","2","male","Mr"
"716","0","3","male","Mr"
"717","1","1","female","Miss"
"718","1","2","female","Miss"
"719","0","3","male","Mr"
"720","0","3","male","Mr"
"721","1","2","female","Miss"
"722","0","3","male","Mr"
"723","0","2","male","Mr"
"724","0","2","male","Mr"
"725","1","1","male","Mr"
"726","0","3","male","Mr"
"727","1","2","female","Mrs"
"728","1","3","female","Miss"
"729","0","2","male","Mr"
"730","0","3","female","Miss"
"731","1","1","female","Miss"
"732","0","3","male","Mr"
"733","0","2","male","Mr"
"734","0","2","male","Mr"
"735","0","2","male","Mr"
"736","0","3","male","Mr"
"737","0","3","female","Mrs"
"738","1","1","male","Mr"
"739","0","3","male","Mr"
"740","0","3","male","Mr"
"741","1","1","male","Mr"
"742","0","1","male","Mr"
"743","1","1","female","Miss"
"744","0","3","male","Mr"
"745","1","3","male","Mr"
"746","0","1","male","Mr"
"747","0","3","male","Mr"
"748","1","2","female","Miss"
"749","0","1","male","Mr"
"750","0","3","male","Mr"
"751","1","2","female","Miss"
"752","1","3","male","Master"
"753","0","3","male","Mr"
"754","0","3","male","Mr"
"755","1","2","female","Mrs"
"756","1","2","male","Master"
"757","0","3","male","Mr"
"758","0","2","male","Mr"
"759","0","3","male","Mr"
"760","1","1","female","Mrs"
"761","0","3","male","Mr"
"762","0","3","male","Mr"
"763","1","3","male","Mr"
"764","1","1","female","Mrs"
"765","0","3","male","Mr"
"766","1","1","female","Mrs"
"767","0","1","male","Mr"
"768","0","3","female","Miss"
"769","0","3","male","Mr"
"770","0","3","male","Mr"
"771","0","3","male","Mr"
"772","0","3","male","Mr"
"773","0","2","female","Mrs"
"774","0","3","male","Mr"
"775","1","2","female","Mrs"
"776","0","3","male","Mr"
"777","0","3","male","Mr"
"778","1","3","female","Miss"
"779","0","3","male","Mr"
"780","1","1","female","Mrs"
"781","1","3","female","Miss"
"782","1","1","female","Mrs"
"783","0","1","male","Mr"
"784","0","3","male","Mr"
"785","0","3","male","Mr"
"786","0","3","male","Mr"
"787","1","3","female","Miss"
"788","0","3","male","Master"
"789","1","3","male","Master"
"790","0","1","male","Mr"
"791","0","3","male","Mr"
"792","0","2","male","Mr"
"793","0","3","female","Miss"
"794","0","1","male","Mr"
"795","0","3","male","Mr"
"796","0","2","male","Mr"
"797","1","1","female","Mr"
"798","1","3","female","Mrs"
"799","0","3","male","Mr"
"800","0","3","female","Mrs"
"801","0","2","male","Mr"
"802","1","2","female","Mrs"
"803","1","1","male","Master"
"804","1","3","male","Master"
"805","1","3","male","Mr"
"806","0","3","male","Mr"
"807","0","1","male","Mr"
"808","0","3","female","Miss"
"809","0","2","male","Mr"
"810","1","1","female","Mrs"
"811","0","3","male","Mr"
"812","0","3","male","Mr"
"813","0","2","male","Mr"
"814","0","3","female","Miss"
"815","0","3","male","Mr"
"816","0","1","male","Mr"
"817","0","3","female","Miss"
"818","0","2","male","Mr"
"819","0","3","male","Mr"
"820","0","3","male","Master"
"821","1","1","female","Mrs"
"822","1","3","male","Mr"
"823","0","1","male","Mr"
"824","1","3","female","Mrs"
"825","0","3","male","Master"
"826","0","3","male","Mr"
"827","0","3","male","Mr"
"828","1","2","male","Master"
"829","1","3","male","Mr"
"830","1","1","female","Mrs"
"831","1","3","female","Mrs"
"832","1","2","male","Master"
"833","0","3","male","Mr"
"834","0","3","male","Mr"
"835","0","3","male","Mr"
"836","1","1","female","Miss"
"837","0","3","male","Mr"
"838","0","3","male","Mr"
"839","1","3","male","Mr"
"840","1","1","male","Mr"
"841","0","3","male","Mr"
"842","0","2","male","Mr"
"843","1","1","female","Miss"
"844","0","3","male","Mr"
"845","0","3","male","Mr"
"846","0","3","male","Mr"
"847","0","3","male","Mr"
"848","0","3","male","Mr"
"849","0","2","male","Mr"
"850","1","1","female","Mrs"
"851","0","3","male","Master"
"852","0","3","male","Mr"
"853","0","3","female","Miss"
"854","1","1","female","Miss"
"855","0","2","female","Mrs"
"856","1","3","female","Mrs"
"857","1","1","female","Mrs"
"858","1","1","male","Mr"
"859","1","3","female","Mrs"
"860","0","3","male","Mr"
"861","0","3","male","Mr"
"862","0","2","male","Mr"
"863","1","1","female","Mrs"
"864","0","3","female","Miss"
"865","0","2","male","Mr"
"866","1","2","female","Mrs"
"867","1","2","female","Miss"
"868","0","1","male","Mr"
"869","0","3","male","Mr"
"870","1","3","male","Master"
"871","0","3","male","Mr"
"872","1","1","female","Mrs"
"873","0","1","male","Mr"
"874","0","3","male","Mr"
"875","1","2","female","Mrs"
"876","1","3","female","Miss"
"877","0","3","male","Mr"
"878","0","3","male","Mr"
"879","0","3","male","Mr"
"880","1","1","female","Mrs"
"881","1","2","female","Mrs"
"882","0","3","male","Mr"
"883","0","3","female","Miss"
"884","0","2","male","Mr"
"885","0","3","male","Mr"
"886","0","3","female","Mrs"
"887","0","2","male","Mr"
"888","1","1","female","Miss"
"889","0","3","female","Miss"
"890","1","1","male","Mr"
"891","0","3","male","Mr"
